epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,421.867,0.51271,0.3184,0.80403,0.99188,0.98277,0.98433,0.87505,0.45347,0.28439,0.77961,0.000627292,0.000627292,0.000627292
65,428.452,0.52527,0.31443,0.80283,0.99307,0.98349,0.98521,0.88843,0.42943,0.27068,0.77905,0.000610789,0.000610789,0.000610789
66,434.343,0.51251,0.31445,0.80911,0.99311,0.98344,0.9853,0.8857,0.44378,0.28835,0.7816,0.000594286,0.000594286,0.000594286
67,440.733,0.50622,0.3115,0.80728,0.9935,0.98348,0.98602,0.8854,0.43671,0.27488,0.78036,0.000577782,0.000577782,0.000577782
68,447.469,0.49732,0.31043,0.80352,0.99355,0.98344,0.98583,0.87722,0.46559,0.27973,0.78147,0.000561279,0.000561279,0.000561279
69,453.739,0.50451,0.31015,0.80384,0.9941,0.98378,0.98513,0.88408,0.43053,0.28633,0.77876,0.000544776,0.000544776,0.000544776
70,459.914,0.5135,0.31662,0.8022,0.99453,0.98251,0.98521,0.87183,0.47393,0.29012,0.78232,0.000528272,0.000528272,0.000528272
71,466.202,0.4923,0.30038,0.80606,0.99413,0.98174,0.98604,0.88207,0.4681,0.2795,0.78256,0.000511769,0.000511769,0.000511769
72,472.774,0.50251,0.30315,0.80003,0.9886,0.98351,0.98506,0.88892,0.4304,0.28023,0.77756,0.000495266,0.000495266,0.000495266
73,479.077,0.48999,0.30262,0.79659,0.99424,0.98248,0.98717,0.88251,0.43469,0.26853,0.77865,0.000478762,0.000478762,0.000478762
74,486.468,0.49265,0.30074,0.79851,0.99375,0.98339,0.98558,0.8772,0.44648,0.27662,0.77995,0.000462259,0.000462259,0.000462259
75,492.702,0.50363,0.3034,0.80216,0.99111,0.9835,0.98648,0.8853,0.41878,0.27005,0.77859,0.000445756,0.000445756,0.000445756
76,499.855,0.47231,0.29242,0.79569,0.99364,0.98356,0.98555,0.88834,0.42732,0.26741,0.77941,0.000429253,0.000429253,0.000429253
77,505.594,0.49155,0.29688,0.80218,0.99367,0.98378,0.98577,0.89129,0.41574,0.26088,0.77833,0.000412749,0.000412749,0.000412749
78,512.856,0.47627,0.28958,0.8015,0.99034,0.98346,0.9857,0.89126,0.40992,0.26422,0.7764,0.000396246,0.000396246,0.000396246
79,518.527,0.47687,0.29609,0.80152,0.99027,0.98326,0.98616,0.88224,0.43163,0.26194,0.77826,0.000379743,0.000379743,0.000379743
80,525.163,0.49797,0.29078,0.80594,0.99345,0.98165,0.98587,0.88824,0.43074,0.26435,0.77929,0.000363239,0.000363239,0.000363239
81,531.952,0.49023,0.29412,0.80457,0.99365,0.98168,0.98631,0.89253,0.42667,0.26538,0.78032,0.000346736,0.000346736,0.000346736
82,538.595,0.48569,0.29055,0.80477,0.99394,0.98141,0.98548,0.89294,0.41618,0.25795,0.77855,0.000330233,0.000330233,0.000330233
83,545.09,0.4834,0.2898,0.8054,0.99411,0.98192,0.9846,0.89109,0.41121,0.25895,0.77752,0.000313729,0.000313729,0.000313729
84,552.769,0.47381,0.29187,0.80276,0.99416,0.98268,0.98483,0.89309,0.40834,0.25071,0.77745,0.000297226,0.000297226,0.000297226
85,559.717,0.46812,0.28085,0.80062,0.99387,0.98211,0.98438,0.89536,0.40861,0.25173,0.77647,0.000280723,0.000280723,0.000280723
86,566.283,0.4731,0.28813,0.80456,0.99369,0.98161,0.98517,0.89282,0.40708,0.24773,0.77593,0.00026422,0.00026422,0.00026422
87,572.619,0.47257,0.2818,0.7931,0.99348,0.98188,0.98589,0.89178,0.41914,0.25324,0.77631,0.000247716,0.000247716,0.000247716
